     JU  KU  U    JL  KL   L     OBS/CM-1      UNC/CM-1   
      5   0  1     4   0   0    51.377210     0.00025000
      5   1  0     4   1   1    51.282560     0.00025000
      5   1  1     4   1   0    51.380870     0.00025000
      5   2  0     4   2   1    51.292190     0.00025000
      5   2  1     4   2   0    51.392420     0.00025000
      5  -3  0     4  -3   1    51.308390     0.00025000
      5   0  1     4  -3   1    69.329198     0.00010000
      5   3  1     4   3   0    51.410770     0.00025000
      5   4  0     4   4   1    51.331180     0.00025000
      5   4  1     4   4   0    51.436760     0.00025000
      6   0  1     5   0   0    61.590016     0.00010000
      6   0  0     5   0   1    61.495846     0.00010000
      6   1  0     5   1   1    61.499368     0.00010000
      6   1  1     5   1   0    61.594632     0.00010000
      6   2  0     5   2   1    61.511304     0.00010000
      6   2  1     5   2   0    61.607502     0.00010000
      6   1  0     5   2   0    67.534699    0.00010000
      6   1  1     5   2   1    67.532508     0.00010000
      6  -3  1     5  -3   0    61.629587     0.00010000
      6   3  1     5   3   0    61.629587     0.00100000
      6   3  0     5   3   1    61.530466     0.00010000
      6  -3  0     5  -3   1    61.530466     0.00100000
      6   4  0     5   4   1    61.557567    0.00010000
      6   4  1     5   4   0    61.660049     0.00010000
      6   5  0     5   5   1    61.593254     0.00010000
      6   5  1     5   5   0    61.699853     0.00010000
      7   0  1     6   0   0    71.774574     0.00010000
      7   0  0     6   0   1    71.684302     0.00010000
      7   1  0     6   1   1    71.688557     0.00010000
      7   1  1     6   1   0    71.779665     0.00010000
      7   1  1     6   2   1    77.707202     0.00010000
      7   2  0     6   2   1    71.702205     0.00010000
      7   2  1     6   2   0    71.794709     0.00010000
      7  -3  1     6  -3   0    71.819734     0.00100000
      7   3  1     6   3   0    71.819734     0.00010000
      7  -3  0     6  -3   1    71.725071     0.00010000
      7   3  0     6   3   1    71.725071     0.00100000
      7   4  1     6   4   0    71.855122     0.00010000
      7   4  0     6   4   1    71.756893     0.00010000
      7   2  1     6   5   1   113.708226     0.00010000
      7   5  1     6   5   0    71.900880     0.00010000
      7   5  0     6   5   1    71.798355     0.00010000
      7   6  1     6   6   0    71.956844     0.00010000
      7   6  0     6   6   1    71.848980     0.00010000
      8   0  0     7   0   1    81.840612     0.00010000
      8   0  1     7   0   0    81.927245     0.00010000
      8   1  0     7   1   1    81.846057     0.00010000
      8   1  1     7   1   0    81.932358     0.00010000
      8   2  0     7   2   1    81.861578     0.00100000
      8   2  1     7   2   0    81.949363     0.00010000
      8   3  0     7   3   1    81.887624     0.00010000
      8   0  0     7  -3   0    99.777064     0.00010000
      8  -3  1     7  -3   0    81.977889     0.00010000
      8   3  1     7   3   0    81.977889     0.00100000
      8  -3  0     7  -3   1    81.887624     0.00100000
      8   4  1     7   4   0    82.017741     0.00010000
      8   4  0     7   4   1    81.924025     0.00010000
      8   5  1     7   5   0    82.069160     0.00010000
      8   5  0     7   5   1    81.971440     0.00010000
      8   6  1     7   6   0    82.132079     0.00010000
      8   6  0     7   6   1    82.029171     0.00010000
      8   7  1     7   7   0    82.207997     0.00010000
      8   7  0     7   7   1    82.097921     0.00010000
      9   0  1     8   0   0    92.042722     0.00010000
      9   0  0     8   0   1    91.960794     0.00010000
      9   1  0     8   1   1    91.966936     0.00010000
      9   1  1     8   1   0    92.048947     0.00010000
      9   2  0     8   2   1    91.984481     0.00010000
      9   2  1     8   2   0    92.067796     0.00010000
      9   3  0     8   3   1    92.013695     0.00100000
      9  -3  0     8  -3   1    92.013695     0.00010000
      9   3  1     8   3   0    92.099210     0.00010000
      9  -3  1     8  -3   0    92.099210     0.00100000
      9   4  1     8   4   0    92.143128     0.00010000
      9   4  0     8   4   1    92.054902     0.00010000
      9   5  1     8   5   0    92.200237     0.00010000
      9   5  0     8   5   1    92.107969     0.00010000
      9   6  0     8   6   1    92.173025     0.00010000
      9   6  1     8   6   0    92.270414     0.00010000
      9   7  0     8   7   1    92.250438     0.00010000
      9   7  1     8   7   0    92.354040     0.00010000
      9   8  0     8   8   1    92.340117     0.00010000
      9   8  1     8   8   0    92.451670     0.00010000
     10   0  0     9   0   1   102.041095     0.00010000
     10   0  1     9   0   0   102.117887     0.00010000
     10  -3  1     9   0   1    84.350948    0.00010000
     10   1  0     9   1   1   102.047543     0.00010000
     10   1  1     9   1   0   102.124681     0.00010000
     10   2  0     9   2   1   102.066926     0.00010000
     10   2  1     9   2   0   102.145128     0.00010000
     10   3  0     9   3   1   102.099486     0.00010000
     10  -3  0     9  -3   1   102.099486     0.00100000
     10  -3  1     9  -3   0   102.179607    0.00010000
     10   3  1     9   3   0   102.179607     0.00100000
     10   1  1     9   4   1   131.763403     0.00010000
     10   4  0     9   4   1   102.145086     0.00010000
     10   4  1     9   4   0   102.227906     0.00010000
     10   2  0     9   5   0   143.729075     0.00010000
     10   5  0     9   5   1   102.203544     0.00010000
     10   5  1     9   5   0   102.290157     0.00010000
     10   2  1     9   5   1   143.722559    0.00010000
     10   6  0     9   6   1   102.275583     0.00010000
     10   6  1     9   6   0   102.367178     0.00010000
     10   7  0     9   7   1   102.361178     0.00010000
     10   7  1     9   7   0   102.458774     0.00010000
     10   4  1     9   7   1   167.864335     0.00010000
     10   8  0     9   8   1   102.460598     0.00010000
     10   8  1     9   8   0   102.565607     0.00010000
      9  -6  1     9   9   1    89.978142     0.00010000
      9   6  0     9   9   0    89.990054     0.00010000
     10   9  0     9   9   1   102.574110     0.00010000
     10   9  1     9   9   0   102.688266     0.00010000
     11   0  0    10   0   1   112.076599     0.00010000
     11   0  1    10   0   0   112.148439     0.00010000
     11  -3  0    10   0   0    94.449579     0.00010000
     11   1  1    10   1   0   112.155744     0.00010000
     11   1  0    10   1   1   112.083663     0.00010000
     11   2  1    10   2   0   112.178131     0.00010000
     11   2  0    10   2   1   112.104883     0.00010000
     11   3  1    10   3   0   112.215817     0.00010000
     11  -3  1    10  -3   0   112.214755     0.00010000
     11  -3  0    10  -3   1   112.139770     0.00010000
     11   3  0    10   3   1   112.140915     0.00100000
     11   0  1    10  -3   1   129.838774     0.00010000
     11   4  1    10   4   0   112.267935     0.00010000
     11   4  0    10   4   1   112.190048     0.00010000
     11   1  1    10   4   1   141.696513     0.00010000
     11   5  1    10   5   0   112.335374     0.00010000
     11   5  0    10   5   1   112.254283     0.00010000
     11   6  1    10   6   0   112.418711     0.00010000
     11   6  0    10   6   1   112.333242     0.00010000
     11   3  1    10  -6   1   165.611955     0.00010000
     11  -3  0    10  -6   0   165.617456     0.00010000
     11   7  1    10   7   0   112.518053     0.00010000
     11   7  0    10   7   1   112.426851     0.00010000
     11   8  1    10   8   0   112.633745     0.00010000
     11   8  0    10   8   1   112.535662     0.00010000
     11   9  0    10   9   1   112.659929     0.00010000
     11   9  1    10   9   0   112.766382     0.00010000
     10   7  1    10  10   1   101.819203     0.00010000
     11  10  1    10  10   0   112.916775     0.00010000
     11  10  0    10  10   1   112.799809     0.00010000
     12   0  1    11   0   0   122.130599     0.00010000
     12   0  0    11   0   1   122.063956     0.00010000
     12  -3  1    11   0   1   104.502081    0.00010000
     12   1  1    11   1   0   122.138487     0.00010000
     12   1  0    11   1   1   122.071526     0.00010000
     12   2  1    11   2   0   122.162473     0.00010000
     12   2  0    11   2   1   122.094502     0.00010000
     12  -3  1    11  -3   0   122.201553     0.00010000
     12   3  1    11   3   0   122.203645     0.00010000
     12   3  0    11   3   1   122.133750     0.00010000
     12  -3  0    11  -3   1   122.131788     0.00010000
     12   4  1    11   4   0   122.258892     0.00010000
     12   4  0    11   4   1   122.186769     0.00010000
     12   5  1    11   5   0   122.331828     0.00010000
     12   5  0    11   5   1   122.256186     0.00010000
     12   6  1    11   6   0   122.421230     0.00010000
     12   6  0    11   6   1   122.341735     0.00010000
     12   4  0    11   7   0   187.443605     0.00010000
     12   7  1    11   7   0   122.527830     0.00010000
     12   7  0    11   7   1   122.443231     0.00010000
     12   4  1    11   7   1   187.434549    0.00010000
     12   8  1    11   8   0   122.652126     0.00010000
     12   8  0    11   8   1   122.561135     0.00010000
     11  -6  1    11   9   1    89.331925     0.00010000
     11   6  0    11   9   0    89.342304     0.00010000
     12   9  1    11   9   0   122.794665     0.00010000
     12   9  0    11   9   1   122.695781     0.00010000
     12  10  0    11  10   1   122.847471     0.00010000
     12  10  1    11  10   0   122.955999     0.00010000
     11   8  1    11  11   1   113.514355     0.00010000
     12  11  0    11  11   1   123.016777     0.00010000
     12  11  1    11  11   0   123.137015     0.00010000
     13   0  0    12   0   1   131.999155     0.00010000
     13   0  1    12   0   0   132.060776     0.00010000
     13   1  0    12   1   1   132.007278     0.00010000
     13   1  1    12   1   0   132.069299     0.00010000
     13   2  0    12   2   1   132.032032     0.00010000
     13   2  1    12   2   0   132.094835     0.00010000
     13   3  0    12   3   1   132.074585     0.00010000
     13  -3  0    12  -3   1   132.071774     0.00010000
     13   3  1    12   3   0   132.139034     0.00010000
     13  -3  1    12  -3   0   132.136198     0.00010000
     13   4  0    12   4   1   132.131063     0.00010000
     13   4  1    12   4   0   132.197729     0.00010000
     13   5  0    12   5   1   132.205792     0.00010000
     13   5  1    12   5   0   132.275371     0.00010000
     13   6  0    12   6   1   132.297508     0.00010000
     13   6  1    12   6   0   132.370874     0.00010000
     13   7  0    12   7   1   132.406509     0.00010000
     13   7  1    12   7   0   132.484659     0.00010000
     13   8  0    12   8   1   132.533172     0.00010000
     13   8  1    12   8   0   132.617227     0.00010000
     13   9  0    12   9   1   132.677834     0.00010000
     13   9  1    12   9   0   132.769034     0.00010000
     13  10  0    12  10   1   132.840885     0.00010000
     13  10  1    12  10   0   132.940895     0.00010000
     13  11  1    12  11   0   133.133739     0.00010000
     13  11  0    12  11   1   133.022808     0.00010000
     13  12  1    12  12   0   133.348273     0.00010000
     13  12  0    12  12   1   133.224293     0.00010000
     14   0  0    13   0   1   141.878790     0.00010000
     14   0  1    13   0   0   141.935369     0.00010000
     14   1  1    13   1   0   141.944356     0.00010000
     14   1  0    13   1   1   141.887546     0.00010000
     14   2  1    13   2   0   141.971564     0.00010000
     14   2  0    13   2   1   141.913876     0.00010000
     14  -3  1    13  -3   0   142.014858     0.00010000
     14   3  1    13   3   0   142.019313     0.00100000
     14   3  0    13   3   1   141.959798     0.00010000
     14  -3  0    13  -3   1   141.955666     0.00010000
     14   4  1    13   4   0   142.080613     0.00010000
     14   4  0    13   4   1   142.019313     0.00010000
     14   5  1    13   5   0   142.162955     0.00010000
     14   5  0    13   5   1   142.099118     0.00010000
     14   6  1    13   6   0   142.264143     0.00010000
     14   6  0    13   6   1   142.196898     0.00010000
     14   7  1    13   7   0   142.385181     0.00100000
     14   7  0    13   7   1   142.313129     0.00010000
     14   8  1    13   8   0   142.525259     0.00010000
     14   8  0    13   8   1   142.448123     0.00010000
     14   9  0    13   9   1   142.602438     0.00010000
     14   9  1    13   9   0   142.686133     0.00010000
     14  10  0    13  10   1   142.776417     0.00010000
     14  10  1    13  10   0   142.868316     0.00010000
     14  11  0    13  11   1   142.970609     0.00010000
     14  11  1    13  11   0   143.072183     0.00010000
     14  12  0    13  12   1   143.185547     0.00010000
     14  12  1    13  12   0   143.299170     0.00010000
     14  13  0    13  13   1   143.421794     0.00010000
     14  13  1    13  13   0   143.550142     0.00010000
     15   0  0    14   0   1   151.699637     0.00010000
     15   0  1    14   0   0   151.751020     0.00010000
     15   1  0    14   1   1   151.708780     0.00010000
     15   1  1    14   1   0   151.760643     0.00010000
     15   2  0    14   2   1   151.736616     0.00010000
     15   2  1    14   2   0   151.789161     0.00010000
     15  -3  0    14  -3   1   151.780372     0.00010000
     15   3  0    14   3   1   151.785878     0.00010000
     15   3  1    14   3   0   151.839932     0.00010000
     15  -3  1    14  -3   0   151.834231     0.00010000
     15   4  0    14   4   1   151.848455     0.00010000
     15   4  1    14   4   0   151.904276     0.00010000
     15   5  0    14   5   1   151.932762     0.00010000
     15   5  1    14   5   0   151.991088     0.00010000
     15   6  0    14   6   1   152.036468     0.00010000
     15   6  1    14   6   0   152.097859     0.00010000
     15   7  0    14   7   1   152.159646     0.00010000
     15   7  1    14   7   0   152.224997     0.00010000
     15   8  1    14   8   0   152.372963     0.00010000
     15   8  0    14   8   1   152.302553     0.00010000
     15   9  1    14   9   0   152.542474     0.00010000
     15   9  0    14   9   1   152.466169     0.00010000
     15  10  1    14  10   0   152.734099     0.00010000
     15  10  0    14  10   1   152.650554     0.00010000
     15  11  1    14  11   0   152.948942     0.00010000
     15  11  0    14  11   1   152.856388     0.00010000
     15  12  1    14  12   0   153.187681     0.00010000
     15  12  0    14  12   1   153.084329     0.00010000
     15  13  0    14  13   1   153.334841     0.00010000
     15  13  1    14  13   0   153.451618     0.00010000
     15  14  0    14  14   1   153.609119     0.00010000
     15  14  1    14  14   0   153.742269     0.00010000
     16   0  1    15   0   0   161.504768     0.00010000
     16   0  0    15   0   1   161.457874     0.00010000
     16   1  1    15   1   0   161.514746     0.00010000
     16   1  0    15   1   1   161.467709     0.00010000
     16   2  1    15   2   0   161.544777     0.00010000
     16   2  0    15   2   1   161.496962     0.00010000
     16  -3  1    15  -3   0   161.591046     0.00010000
     16   3  1    15   3   0   161.598883     0.00010000
     16   3  0    15   3   1   161.549945     0.00010000
     16  -3  0    15  -3   1   161.542135     0.00010000
     16   4  0    15   4   1   161.614955     0.00010000
     16   4  1    15   4   0   161.665475     0.00010000
     16   5  0    15   5   1   161.703790     0.00010000
     16   5  1    15   5   0   161.756620     0.00010000
     16   6  0    15   6   1   161.812872     0.00010000
     16   6  1    15   6   0   161.868682     0.00010000
     16   7  0    15   7   1   161.942763     0.00010000
     16   7  1    15   7   0   162.002035     0.00010000
     16   8  0    15   8   1   162.093464     0.00010000
     16   8  1    15   8   0   162.157284     0.00010000
     16   9  0    15   9   1   162.265771     0.00010000
     16   9  1    15   9   0   162.334893     0.00010000
     16  10  0    15  10   1   162.460079     0.00010000
     16  10  1    15  10   0   162.535849     0.00010000
     16  11  0    15  11   1   162.677001     0.00010000
     16  11  1    15  11   0   162.760828     0.00010000
     16  12  0    15  12   1   162.917217     0.00010000
     16  12  1    15  12   0   163.010888     0.00010000
     16  13  0    15  13   1   163.181481     0.00010000
     16  13  1    15  13   0   163.287007     0.00010000
     16  14  0    15  14   1   163.470565     0.00010000
     16  14  1    15  14   0   163.591001     0.00010000
     16  15  0    15  15   1   163.785478     0.00010000
     16  15  1    15  15   0   163.924017     0.00010000
     17   0  0    16   0   1   171.151278     0.00010000
     17   0  1    16   0   0   171.193096    0.00010000
     17   1  0    16   1   1   171.161417     0.00010000
     17   1  1    16   1   0   171.203771     0.00010000
     17   2  1    16   2   0   171.235286     0.00010000
     17   2  0    16   2   1   171.193096     0.00100000
     17  -3  1    16  -3   0   171.282492     0.00010000
     17  -3  0    16  -3   1   171.238601     0.00010000
     17   3  0    16   3   1   171.248750     0.00010000
     17   3  1    16   3   0   171.292937     0.00010000
     17   4  1    16   4   0   171.361418     0.00010000
     17   4  0    16   4   1   171.315834     0.00010000
     17   5  1    16   5   0   171.456572     0.00010000
     17   5  0    16   5   1   171.409004     0.00010000
     17   6  1    16   6   0   171.573579     0.00010000
     17   6  0    16   6   1   171.523404     0.00010000
     17   7  1    16   7   0   171.712763     0.00010000
     17   7  0    16   7   1   171.659473     0.00010000
     17   8  1    16   8   0   171.874978     0.00010000
     17   8  0    16   8   1   171.817565     0.00010000
     17   9  1    16   9   0   172.060448     0.00010000
     17   9  0    16   9   1   171.998213     0.00010000
     17  10  1    16  10   0   172.270116     0.00010000
     17  10  0    16  10   1   172.201902     0.00010000
     17  11  1    16  11   0   172.504790     0.00010000
     17  11  0    16  11   1   172.429310     0.00010000
     17  12  1    16  12   0   172.765463     0.00010000
     17  12  0    16  12   1   172.681187     0.00010000
     17  13  0    16  13   1   172.958356     0.00010000
     17  13  1    16  13   0   173.053391     0.00010000
     17  14  0    16  14   1   173.261576     0.00010000
     17  14  1    16  14   0   173.369859     0.00010000
     17  15  0    16  15   1   173.591965     0.00010000
     17  15  1    16  15   0   173.716487     0.00010000
     17  16  0    16  16   1   173.950396     0.00010000
     17  16  1    16  16   0   174.095079     0.00010000
     18   0  0    17   0   1   180.776438     0.00010000
     18   0  1    17   0   0   180.814135     0.00010000
     18   1  0    17   1   1   180.787164     0.00010000
     18   1  1    17   1   0   180.825124     0.00010000
     18   2  0    17   2   1   180.819287     0.00010000
     18   2  1    17   2   0   180.857848     0.00010000
     18   3  0    17   3   1   180.879561     0.00010000
     18  -3  0    17  -3   1   180.866129     0.00010000
     18  -3  1    17  -3   0   180.905469     0.00010000
     18   3  1    17   3   0   180.919187     0.00010000
     18   4  0    17   4   1   180.948250     0.00010000
     18   4  1    17   4   0   180.989062     0.00010000
     18   5  0    17   5   1   181.045465     0.00010000
     18   5  1    17   5   0   181.088083     0.00010000
     18   6  0    17   6   1   181.164881     0.00010000
     18   6  1    17   6   0   181.209888     0.00010000
     18   7  0    17   7   1   181.306927     0.00010000
     18   7  1    17   7   0   181.354648     0.00010000
     18   8  0    17   8   1   181.471862     0.00010000
     18   8  1    17   8   0   181.523198     0.00010000
     18   9  1    17   9   0   181.716178     0.00010000
     18   9  0    17   9   1   181.660812     0.00100000
     18  10  1    17  10   0   181.934129     0.00010000
     18  10  0    17  10   1   181.872989     0.00010000
     18  11  1    17  11   0   182.177953     0.00010000
     18  11  0    17  11   1   182.110311     0.00010000
     18  12  1    17  12   0   182.448641     0.00010000
     18  12  0    17  12   1   182.373350     0.00010000
     18  13  0    17  13   1   182.662550     0.00010000
     18  13  1    17  13   0   182.747604     0.00010000
     18  14  0    17  14   1   182.979187     0.00010000
     18  14  1    17  14   0   183.075927     0.00010000
     18  15  0    17  15   1   183.324051     0.00010000
     18  15  1    17  15   0   183.435404     0.00010000
     18  16  0    17  16   1   183.698375     0.00010000
     18  16  1    17  16   0   183.827677     0.00010000
     18  17  0    17  17   1   184.103514     0.00010000
     18  17  1    17  17   0   184.255063     0.00010000
     19   0  1    18   0   0   190.364612     0.00010000
     19   0  0    18   0   1   190.331176    0.00010000
     19   1  1    18   1   0   190.375688     0.00010000
     19   1  0    18   1   1   190.342026     0.00010000
     19   2  1    18   2   0   190.409792     0.00010000
     19   2  0    18   2   1   190.375688     0.00010000
     19  -3  0    18  -3   1   190.422577     0.00010000
     19   3  0    18   3   1   190.439800     0.00010000
     19   3  1    18   3   0   190.475179     0.00010000
     19  -3  1    18  -3   0   190.457470     0.00010000
     19   4  0    18   4   1   190.509518     0.00010000
     19   4  1    18   4   0   190.545871     0.00010000
     19   5  0    18   5   1   190.610581     0.00010000
     19   5  1    18   5   0   190.648507     0.00010000
     19   6  0    18   6   1   190.734712     0.00010000
     19   6  1    18   6   0   190.775289     0.00100000
     19   7  0    18   7   1   190.882411     0.00010000
     19   7  1    18   7   0   190.924909     0.00010000
     19   8  0    18   8   1   191.053901     0.00010000
     19   8  1    18   8   0   191.099601     0.00010000
     19   9  0    18   9   1   191.249789     0.00010000
     19   9  1    18   9   0   191.299028     0.00100000
     19  10  0    18  10   1   191.470913     0.00010000
     19  10  1    18  10   0   191.525189     0.00010000
     19  11  0    18  11   1   191.717581     0.00010000
     19  11  1    18  11   0   191.777593     0.00010000
     19  12  0    18  12   1   191.990842     0.00010000
     19  12  1    18  12   0   192.057974     0.00010000
     19  13  0    18  13   1   192.291581     0.00010000
     19  13  1    18  13   0   192.367064     0.00010000
     19  14  0    18  14   1   192.620678     0.00010000
     19  14  1    18  14   0   192.706709     0.00010000
     19  15  1    18  15   0   193.077996     0.00010000
     19  15  0    18  15   1   192.979126     0.00010000
     19  16  1    18  16   0   193.483221     0.00010000
     19  16  0    18  16   1   193.368471     0.00010000
     19  17  1    18  17   0   193.924065     0.00010000
     19  17  0    18  17   1   193.789723     0.00010000
     19  18  1    18  18   0   194.403348     0.00010000
     19  18  0    18  18   1   194.244354     0.00010000
     20   0  0    19   0   1   199.811967     0.00010000
     20   0  1    19   0   0   199.841890     0.00010000
     20   1  0    19   1   1   199.823579     0.00010000
     20   1  1    19   1   0   199.853523     0.00010000
     20   2  0    19   2   1   199.858106     0.00010000
     20   2  1    19   2   0   199.888551     0.00010000
     20   3  0    19   3   1   199.926826     0.00010000
     20  -3  0    19  -3   1   199.905002     0.00010000
     20  -3  1    19  -3   0   199.935798     0.00010000
     20   3  1    19   3   0   199.958213     0.00010000
     20   4  0    19   4   1   199.996979     0.00010000
     20   4  1    19   4   0   200.029194     0.00010000
     20   5  0    19   5   1   200.101775     0.00010000
     20   5  1    19   5   0   200.135340     0.00010000
     20   6  1    19   6   0   200.265774     0.00010000
     20   6  0    19   6   1   200.230376     0.00010000
     20   7  1    19   7   0   200.420936     0.00010000
     20   7  0    19   7   1   200.382907     0.00100000
     20   8  0    19   8   1   200.560894     0.00010000
     20   8  1    19   8   0   200.601349     0.00010000
     20   9  0    19   9   1   200.763851     0.00010000
     20   9  1    19   9   0   200.807706     0.00010000
     20  10  0    19  10   1   200.992737     0.00010000
     20  10  1    19  10   0   201.040774     0.00010000
     20  11  0    19  11   1   201.248294     0.00010000
     20  11  1    19  11   0   201.301398     0.00010000
     20  12  0    19  12   1   201.531270     0.00010000
     20  12  1    19  12   0   201.590559     0.00010000
     20  13  0    19  13   1   201.842595     0.00010000
     20  13  1    19  13   0   201.909424     0.00010000
     20  14  0    19  14   1   202.183415     0.00010000
     20  14  1    19  14   0   202.259479     0.00010000
     20  15  0    19  15   1   202.554590     0.00010000
     20  15  1    19  15   0   202.642021     0.00010000
     20  16  0    19  16   1   202.957890     0.00010000
     20  16  1    19  16   0   203.059245     0.00010000
     20  17  0    19  17   1   203.393971     0.00010000
     20  17  1    19  17   0   203.512752     0.00010000
     20  18  0    19  18   1   203.865082     0.00010000
     20  18  1    19  18   0   204.005363     0.00010000
     20  19  0    19  19   1   204.372189     0.00010000
     20  19  1    19  19   0   204.539762     0.00010000
     21   0  0    20   0   1   209.217662     0.00010000
     21   0  1    20   0   0   209.244002     0.00010000
     21   1  0    20   1   1   209.229688     0.00010000
     21   1  1    20   1   0   209.256030     0.00010000
     21   2  0    20   2   1   209.265460     0.00010000
     21   2  1    20   2   0   209.292181     0.00010000
     21   3  1    20   3   0   209.366290     0.00010000
     21  -3  1    20  -3   0   209.338651     0.00010000
     21   3  0    20   3   1   209.338651     0.00010000
     21  -3  0    20  -3   1   209.311312     0.00010000
     21   4  1    20   4   0   209.437012     0.00010000
     21   4  0    20   4   1   209.408633     0.00010000
     21   5  1    20   5   0   209.546438     0.00010000
     21   5  0    20   5   1   209.516847     0.00010000
     21   6  1    20   6   0   209.680710     0.00010000
     21   6  0    20   6   1   209.649658     0.00010000
     21   7  1    20   7   0   209.840613     0.00010000
     21   7  0    20   7   1   209.807408     0.00010000
     21   8  1    20   8   0   210.026460     0.00010000
     21   8  0    20   8   1   209.990894     0.00010000
     21   9  1    20   9   0   210.238975     0.00010000
     21   9  0    20   9   1   210.200375     0.00010000
     21  10  1    20  10   0   210.478779     0.00010000
     21  10  0    20  10   1   210.436613     0.00010000
     21  11  1    20  11   0   210.747138     0.00010000
     21  11  0    20  11   1   210.700345     0.00010000
     21  12  1    20  12   0   211.044134     0.00100000
     21  12  0    20  12   1   210.992414     0.00010000
     21  13  1    20  13   0   211.372395     0.00010000
     21  13  0    20  13   1   211.313756     0.00010000
     21  14  0    20  14   1   211.665423     0.00010000
     21  14  1    20  14   0   211.732115     0.00010000
