   OBS/CM-1     UNC/CM-1 JU  KU  U  JL  KL  L   Source
  92.451670 1.000000e-04  9   8  1   8   8  0 23CaDiFu.173
 102.041095 1.000000e-04 10   0  0   9   0  1 23CaDiFu.174
 102.117887 1.000000e-04 10   0  1   9   0  0 23CaDiFu.175
  84.350948 1.000000e-04 10  -3  1   9   0  1 23CaDiFu.176
 102.047543 1.000000e-04 10   1  0   9   1  1 23CaDiFu.177
 102.124681 1.000000e-04 10   1  1   9   1  0 23CaDiFu.178
 102.066926 1.000000e-04 10   2  0   9   2  1 23CaDiFu.179
 102.145128 1.000000e-04 10   2  1   9   2  0 23CaDiFu.180
 102.099486 1.000000e-04 10   3  0   9   3  1 23CaDiFu.181
 102.099486 1.000000e-03 10  -3  0   9  -3  1 23CaDiFu.182
 102.179607 1.000000e-04 10  -3  1   9  -3  0 23CaDiFu.183
 102.179607 1.000000e-03 10   3  1   9   3  0 23CaDiFu.184
 131.763403 1.000000e-04 10   1  1   9   4  1 23CaDiFu.185
 102.145086 1.000000e-04 10   4  0   9   4  1 23CaDiFu.186
 102.227906 1.000000e-04 10   4  1   9   4  0 23CaDiFu.187
 143.729075 1.000000e-04 10   2  0   9   5  0 23CaDiFu.188
 102.203544 1.000000e-04 10   5  0   9   5  1 23CaDiFu.189
 102.290157 1.000000e-04 10   5  1   9   5  0 23CaDiFu.190
 143.722559 1.000000e-04 10   2  1   9   5  1 23CaDiFu.191
 102.275583 1.000000e-04 10   6  0   9   6  1 23CaDiFu.192
 102.367178 1.000000e-04 10   6  1   9   6  0 23CaDiFu.193
 102.361178 1.000000e-04 10   7  0   9   7  1 23CaDiFu.194
 102.458774 1.000000e-04 10   7  1   9   7  0 23CaDiFu.195
 167.864335 1.000000e-04 10   4  1   9   7  1 23CaDiFu.196
 102.460598 1.000000e-04 10   8  0   9   8  1 23CaDiFu.197
 102.565607 1.000000e-04 10   8  1   9   8  0 23CaDiFu.198
  89.978142 1.000000e-04  9  -6  1   9   9  1 23CaDiFu.199
  89.990054 1.000000e-04  9   6  0   9   9  0 23CaDiFu.200
 102.574110 1.000000e-04 10   9  0   9   9  1 23CaDiFu.201
 102.688266 1.000000e-04 10   9  1   9   9  0 23CaDiFu.202
 112.076599 1.000000e-04 11   0  0  10   0  1 23CaDiFu.203
 112.148439 1.000000e-04 11   0  1  10   0  0 23CaDiFu.204
  94.449579 1.000000e-04 11  -3  0  10   0  0 23CaDiFu.205
 112.155744 1.000000e-04 11   1  1  10   1  0 23CaDiFu.206
 112.083663 1.000000e-04 11   1  0  10   1  1 23CaDiFu.207
 112.178131 1.000000e-04 11   2  1  10   2  0 23CaDiFu.208
 112.104883 1.000000e-04 11   2  0  10   2  1 23CaDiFu.209
 112.215817 1.000000e-04 11   3  1  10   3  0 23CaDiFu.210
 112.214755 1.000000e-04 11  -3  1  10  -3  0 23CaDiFu.211
 112.139770 1.000000e-04 11  -3  0  10  -3  1 23CaDiFu.212
 112.140915 1.000000e-03 11   3  0  10   3  1 23CaDiFu.213
 129.838774 1.000000e-04 11   0  1  10  -3  1 23CaDiFu.214
 112.267935 1.000000e-04 11   4  1  10   4  0 23CaDiFu.215
 112.190048 1.000000e-03 11   4  0  10   4  1 23CaDiFu.216
 141.696513 1.000000e-04 11   1  1  10   4  1 23CaDiFu.217
 112.335374 1.000000e-04 11   5  1  10   5  0 23CaDiFu.218
 112.254283 1.000000e-04 11   5  0  10   5  1 23CaDiFu.219
 112.418711 1.000000e-04 11   6  1  10   6  0 23CaDiFu.220
 112.333242 1.000000e-04 11   6  0  10   6  1 23CaDiFu.221
 165.611955 1.000000e-04 11   3  1  10  -6  1 23CaDiFu.222
 165.617456 1.000000e-04 11  -3  0  10  -6  0 23CaDiFu.223
 112.518053 1.000000e-04 11   7  1  10   7  0 23CaDiFu.224
 112.426851 1.000000e-04 11   7  0  10   7  1 23CaDiFu.225
 112.633745 1.000000e-04 11   8  1  10   8  0 23CaDiFu.226
 112.535662 1.000000e-04 11   8  0  10   8  1 23CaDiFu.227
 112.659929 1.000000e-04 11   9  0  10   9  1 23CaDiFu.228
 112.766382 1.000000e-04 11   9  1  10   9  0 23CaDiFu.229
 101.819203 1.000000e-04 10   7  1  10  10  1 23CaDiFu.230
 112.916775 1.000000e-04 11  10  1  10  10  0 23CaDiFu.231
 112.799809 1.000000e-04 11  10  0  10  10  1 23CaDiFu.232
 122.130599 1.000000e-04 12   0  1  11   0  0 23CaDiFu.233
 122.063956 1.000000e-04 12   0  0  11   0  1 23CaDiFu.234
 104.502081 1.000000e-04 12  -3  1  11   0  1 23CaDiFu.235
 122.138487 1.000000e-04 12   1  1  11   1  0 23CaDiFu.236
 122.071526 1.000000e-04 12   1  0  11   1  1 23CaDiFu.237
 122.162473 1.000000e-04 12   2  1  11   2  0 23CaDiFu.238
 122.094502 1.000000e-04 12   2  0  11   2  1 23CaDiFu.239
 122.201553 1.000000e-04 12  -3  1  11  -3  0 23CaDiFu.240
 122.203645 1.000000e-04 12   3  1  11   3  0 23CaDiFu.241
 122.133750 1.000000e-04 12   3  0  11   3  1 23CaDiFu.242
 122.131788 1.000000e-04 12  -3  0  11  -3  1 23CaDiFu.243
 122.258892 1.000000e-04 12   4  1  11   4  0 23CaDiFu.244
 122.186769 1.000000e-04 12   4  0  11   4  1 23CaDiFu.245
 122.331828 1.000000e-04 12   5  1  11   5  0 23CaDiFu.246
 122.256186 1.000000e-04 12   5  0  11   5  1 23CaDiFu.247
 122.421230 1.000000e-04 12   6  1  11   6  0 23CaDiFu.248
 122.341735 1.000000e-04 12   6  0  11   6  1 23CaDiFu.249
 187.443605 1.000000e-04 12   4  0  11   7  0 23CaDiFu.250
 122.527830 1.000000e-04 12   7  1  11   7  0 23CaDiFu.251
 122.443231 1.000000e-04 12   7  0  11   7  1 23CaDiFu.252
 187.434549 1.000000e-04 12   4  1  11   7  1 23CaDiFu.253
 122.652126 1.000000e-04 12   8  1  11   8  0 23CaDiFu.254
 122.561135 1.000000e-04 12   8  0  11   8  1 23CaDiFu.255
  89.331925 1.000000e-04 11  -6  1  11   9  1 23CaDiFu.256
  89.342304 1.000000e-04 11   6  0  11   9  0 23CaDiFu.257
 122.794665 1.000000e-04 12   9  1  11   9  0 23CaDiFu.258
 122.695781 1.000000e-04 12   9  0  11   9  1 23CaDiFu.259
 122.847471 1.000000e-04 12  10  0  11  10  1 23CaDiFu.260
 122.955999 1.000000e-04 12  10  1  11  10  0 23CaDiFu.261
 113.514355 1.000000e-04 11   8  1  11  11  1 23CaDiFu.262
 123.016777 1.000000e-04 12  11  0  11  11  1 23CaDiFu.263
 123.137015 1.000000e-04 12  11  1  11  11  0 23CaDiFu.264
 131.999155 1.000000e-04 13   0  0  12   0  1 23CaDiFu.265
 132.060776 1.000000e-04 13   0  1  12   0  0 23CaDiFu.266
 132.007278 1.000000e-04 13   1  0  12   1  1 23CaDiFu.267
 132.069299 1.000000e-04 13   1  1  12   1  0 23CaDiFu.268
 132.032032 1.000000e-04 13   2  0  12   2  1 23CaDiFu.269
 132.094835 1.000000e-04 13   2  1  12   2  0 23CaDiFu.270
 132.074585 1.000000e-04 13   3  0  12   3  1 23CaDiFu.271
 132.071774 1.000000e-04 13  -3  0  12  -3  1 23CaDiFu.272
 132.139034 1.000000e-04 13   3  1  12   3  0 23CaDiFu.273
 132.136198 1.000000e-04 13  -3  1  12  -3  0 23CaDiFu.274
 132.131063 1.000000e-04 13   4  0  12   4  1 23CaDiFu.275
 132.197729 1.000000e-04 13   4  1  12   4  0 23CaDiFu.276
 132.205792 1.000000e-04 13   5  0  12   5  1 23CaDiFu.277
 132.275371 1.000000e-04 13   5  1  12   5  0 23CaDiFu.278
 132.297508 1.000000e-04 13   6  0  12   6  1 23CaDiFu.279
 132.370874 1.000000e-04 13   6  1  12   6  0 23CaDiFu.280
 132.406509 1.000000e-04 13   7  0  12   7  1 23CaDiFu.281
 132.484659 1.000000e-04 13   7  1  12   7  0 23CaDiFu.282
 132.533172 1.000000e-04 13   8  0  12   8  1 23CaDiFu.283
 132.617227 1.000000e-04 13   8  1  12   8  0 23CaDiFu.284
 132.677834 1.000000e-04 13   9  0  12   9  1 23CaDiFu.285
 132.769034 1.000000e-04 13   9  1  12   9  0 23CaDiFu.286
 132.840885 1.000000e-04 13  10  0  12  10  1 23CaDiFu.287
 132.940895 1.000000e-04 13  10  1  12  10  0 23CaDiFu.288
 133.133739 1.000000e-04 13  11  1  12  11  0 23CaDiFu.289
 133.022808 1.000000e-04 13  11  0  12  11  1 23CaDiFu.290
 133.348273 1.000000e-04 13  12  1  12  12  0 23CaDiFu.291
 133.224293 1.000000e-04 13  12  0  12  12  1 23CaDiFu.292
 141.878790 1.000000e-04 14   0  0  13   0  1 23CaDiFu.293
 141.935369 1.000000e-04 14   0  1  13   0  0 23CaDiFu.294
 141.944356 1.000000e-04 14   1  1  13   1  0 23CaDiFu.295
 141.887546 1.000000e-04 14   1  0  13   1  1 23CaDiFu.296
 141.971564 1.000000e-04 14   2  1  13   2  0 23CaDiFu.297
 141.913876 1.000000e-04 14   2  0  13   2  1 23CaDiFu.298
 142.014858 1.000000e-04 14  -3  1  13  -3  0 23CaDiFu.299
 142.019313 1.000000e-03 14   3  1  13   3  0 23CaDiFu.300
 141.959798 1.000000e-04 14   3  0  13   3  1 23CaDiFu.301
 141.955666 1.000000e-04 14  -3  0  13  -3  1 23CaDiFu.302
 142.080613 1.000000e-04 14   4  1  13   4  0 23CaDiFu.303
 142.019313 1.000000e-04 14   4  0  13   4  1 23CaDiFu.304
 142.162955 1.000000e-04 14   5  1  13   5  0 23CaDiFu.305
 142.099118 1.000000e-04 14   5  0  13   5  1 23CaDiFu.306
 142.264143 1.000000e-04 14   6  1  13   6  0 23CaDiFu.307
 142.196898 1.000000e-04 14   6  0  13   6  1 23CaDiFu.308
 142.385181 1.000000e-03 14   7  1  13   7  0 23CaDiFu.309
 142.313129 1.000000e-04 14   7  0  13   7  1 23CaDiFu.310
 142.525259 1.000000e-04 14   8  1  13   8  0 23CaDiFu.311
 142.448123 1.000000e-04 14   8  0  13   8  1 23CaDiFu.312
 142.602438 1.000000e-04 14   9  0  13   9  1 23CaDiFu.313
 142.686133 1.000000e-04 14   9  1  13   9  0 23CaDiFu.314
 142.776417 1.000000e-04 14  10  0  13  10  1 23CaDiFu.315
 142.868316 1.000000e-04 14  10  1  13  10  0 23CaDiFu.316
 142.970609 1.000000e-04 14  11  0  13  11  1 23CaDiFu.317
 143.072183 1.000000e-04 14  11  1  13  11  0 23CaDiFu.318
 143.185547 1.000000e-04 14  12  0  13  12  1 23CaDiFu.319
 143.299170 1.000000e-04 14  12  1  13  12  0 23CaDiFu.320
 143.421794 1.000000e-04 14  13  0  13  13  1 23CaDiFu.321
 143.550142 1.000000e-04 14  13  1  13  13  0 23CaDiFu.322
 151.699637 1.000000e-04 15   0  0  14   0  1 23CaDiFu.323
 151.751020 1.000000e-04 15   0  1  14   0  0 23CaDiFu.324
 151.708780 1.000000e-04 15   1  0  14   1  1 23CaDiFu.325
 151.760643 1.000000e-04 15   1  1  14   1  0 23CaDiFu.326
 151.736616 1.000000e-04 15   2  0  14   2  1 23CaDiFu.327
 151.789161 1.000000e-04 15   2  1  14   2  0 23CaDiFu.328
 151.780372 1.000000e-04 15  -3  0  14  -3  1 23CaDiFu.329
 151.785878 1.000000e-04 15   3  0  14   3  1 23CaDiFu.330
 151.839932 1.000000e-04 15   3  1  14   3  0 23CaDiFu.331
 151.834231 1.000000e-04 15  -3  1  14  -3  0 23CaDiFu.332
 151.848455 1.000000e-04 15   4  0  14   4  1 23CaDiFu.333
 151.904276 1.000000e-04 15   4  1  14   4  0 23CaDiFu.334
 151.932762 1.000000e-04 15   5  0  14   5  1 23CaDiFu.335
 151.991088 1.000000e-04 15   5  1  14   5  0 23CaDiFu.336
 152.036468 1.000000e-04 15   6  0  14   6  1 23CaDiFu.337
 152.097859 1.000000e-04 15   6  1  14   6  0 23CaDiFu.338
 152.159646 1.000000e-04 15   7  0  14   7  1 23CaDiFu.339
 152.224997 1.000000e-04 15   7  1  14   7  0 23CaDiFu.340
 152.372963 1.000000e-04 15   8  1  14   8  0 23CaDiFu.341
 152.302553 1.000000e-04 15   8  0  14   8  1 23CaDiFu.342
 152.542474 1.000000e-04 15   9  1  14   9  0 23CaDiFu.343
 152.466169 1.000000e-04 15   9  0  14   9  1 23CaDiFu.344
 152.734099 1.000000e-04 15  10  1  14  10  0 23CaDiFu.345
 152.650554 1.000000e-04 15  10  0  14  10  1 23CaDiFu.346
 152.948942 1.000000e-04 15  11  1  14  11  0 23CaDiFu.347
 152.856388 1.000000e-04 15  11  0  14  11  1 23CaDiFu.348
 153.187681 1.000000e-04 15  12  1  14  12  0 23CaDiFu.349
 153.084329 1.000000e-04 15  12  0  14  12  1 23CaDiFu.350
 153.334841 1.000000e-04 15  13  0  14  13  1 23CaDiFu.351
 153.451618 1.000000e-04 15  13  1  14  13  0 23CaDiFu.352
 153.609119 1.000000e-04 15  14  0  14  14  1 23CaDiFu.353
 153.742269 1.000000e-04 15  14  1  14  14  0 23CaDiFu.354
 161.504768 1.000000e-04 16   0  1  15   0  0 23CaDiFu.355
 161.457874 1.000000e-04 16   0  0  15   0  1 23CaDiFu.356
 161.514746 1.000000e-04 16   1  1  15   1  0 23CaDiFu.357
 161.467709 1.000000e-04 16   1  0  15   1  1 23CaDiFu.358
 161.544777 1.000000e-04 16   2  1  15   2  0 23CaDiFu.359
 161.496962 1.000000e-04 16   2  0  15   2  1 23CaDiFu.360
 161.591046 1.000000e-04 16  -3  1  15  -3  0 23CaDiFu.361
 161.598883 1.000000e-04 16   3  1  15   3  0 23CaDiFu.362
 161.549945 1.000000e-04 16   3  0  15   3  1 23CaDiFu.363
 161.542135 1.000000e-04 16  -3  0  15  -3  1 23CaDiFu.364
 161.614955 1.000000e-04 16   4  0  15   4  1 23CaDiFu.365
 161.665475 1.000000e-04 16   4  1  15   4  0 23CaDiFu.366
 161.703790 1.000000e-04 16   5  0  15   5  1 23CaDiFu.367
 161.756620 1.000000e-04 16   5  1  15   5  0 23CaDiFu.368
 161.812872 1.000000e-04 16   6  0  15   6  1 23CaDiFu.369
 161.868682 1.000000e-04 16   6  1  15   6  0 23CaDiFu.370
 161.942763 1.000000e-04 16   7  0  15   7  1 23CaDiFu.371
 162.002035 1.000000e-04 16   7  1  15   7  0 23CaDiFu.372
 162.093464 1.000000e-04 16   8  0  15   8  1 23CaDiFu.373
 162.157284 1.000000e-04 16   8  1  15   8  0 23CaDiFu.374
 162.265771 1.000000e-04 16   9  0  15   9  1 23CaDiFu.375
 162.334893 1.000000e-04 16   9  1  15   9  0 23CaDiFu.376
 162.460079 1.000000e-04 16  10  0  15  10  1 23CaDiFu.377
 162.535849 1.000000e-04 16  10  1  15  10  0 23CaDiFu.378
 162.677001 1.000000e-04 16  11  0  15  11  1 23CaDiFu.379
 162.760828 1.000000e-04 16  11  1  15  11  0 23CaDiFu.380
 162.917217 1.000000e-04 16  12  0  15  12  1 23CaDiFu.381
 163.010888 1.000000e-04 16  12  1  15  12  0 23CaDiFu.382
 163.181481 1.000000e-04 16  13  0  15  13  1 23CaDiFu.383
 163.287007 1.000000e-04 16  13  1  15  13  0 23CaDiFu.384
